Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name,States
Atmaram Gobus,VE A/C Sleeper (2+1),21:00:00,07:30:00,04:30:00,1450.0,6,4.7,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Goa
Atmaram Gobus,VE A/C Sleeper (2+1),22:30:00,08:45:00,07:15:00,1499.0,3,4.6,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Goa
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),21:15:00,08:05:00,05:20:00,1419.0,19,4.5,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Goa
Ashray Amrutyog,A/C Sleeper (2+1),22:05:00,09:30:00,07:35:00,1599.0,17,4.4,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Goa
Kadamba Transport Corporation Limited (KTCL) - 6032,Non AC Seater 2+2,18:00:00,08:00:00,02:00:00,600.0,26,4.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Goa
Atmaram Gobus,VE A/C Sleeper (2+1),22:30:00,07:45:00,06:15:00,1099.0,2,4.8,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Goa
Atmaram Gobus,VE A/C Sleeper (2+1),21:32:00,07:02:00,04:34:00,900.0,11,4.7,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Goa
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),20:30:00,06:45:00,03:15:00,600.0,22,4.6,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Goa
IntrCity SmartBus,AC Sleeper (2+1),18:30:00,05:25:00,23:55:00,1119.0,16,4.6,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Goa
IntrCity SmartBus,AC Sleeper (2+1),16:30:00,08:45:00,01:15:00,2193.0,18,4.5,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa,Goa
Zingbus Plus,VE A/C Sleeper (2+1),20:00:00,11:55:00,07:55:00,1782.0,17,4.4,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa,Goa
Zingbus Plus,Bharat Benz A/C Sleeper (2+1),19:35:00,10:20:00,05:55:00,1945.0,15,4.4,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa,Goa
AdShubhra Sharma Tourist Services,A/C Sleeper (2+1),16:46:00,10:31:00,03:17:00,1400.0,21,4.0,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa,Goa
IntrCity SmartBus,AC Sleeper (2+1),17:15:00,08:45:00,02:00:00,1722.0,22,4.4,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa,Goa
Kadamba Transport Corporation Limited (KTCL) - 116186,Volvo AC Seater 2+2,18:30:00,08:00:00,02:30:00,1200.0,21,4.0,https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai,Goa
Zingbus Plus,VE A/C Sleeper (2+1),20:50:00,09:30:00,06:20:00,1000.0,17,4.5,https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai,Goa
Zingbus Plus,Bharat Benz A/C Sleeper (2+1),19:40:00,10:15:00,05:55:00,1000.0,25,4.4,https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai,Goa
IntrCity SmartBus,AC Sleeper (2+1),19:30:00,09:40:00,05:10:00,1188.0,16,4.4,https://www.redbus.in/bus-tickets/goa-to-mumbai,Goa to Mumbai,Goa
Kadamba Transport Corporation Limited (KTCL) - 6020,Non AC Seater 2+2,16:00:00,19:45:00,11:45:00,170.0,25,4.1,https://www.redbus.in/bus-tickets/belagavi-to-goa,Belagavi to Goa,Goa
Gajal Tours And Travels,A/C Sleeper (2+1),04:00:00,10:00:00,14:00:00,7200.0,27,3.8,https://www.redbus.in/bus-tickets/belagavi-to-goa,Belagavi to Goa,Goa
Rajat Travels,A/C Seater / Sleeper (2+1),06:30:00,10:30:00,17:00:00,1799.0,3,3.2,https://www.redbus.in/bus-tickets/belagavi-to-goa,Belagavi to Goa,Goa
PVS Tours and Travels,A/C Sleeper (2+1),07:00:00,11:00:00,18:00:00,1496.0,4,3.4,https://www.redbus.in/bus-tickets/belagavi-to-goa,Belagavi to Goa,Goa
PVS Tours and Travels,A/C Sleeper (2+1),10:35:00,15:00:00,01:35:00,1899.0,8,3.4,https://www.redbus.in/bus-tickets/belagavi-to-goa,Belagavi to Goa,Goa
Kadamba Transport Corporation Limited (KTCL) - 141293,Volvo AC Seater 2+2,19:45:00,08:15:00,04:00:00,1200.0,1,3.8,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa,Goa
